15 20                              
NORMAL_LEVEL                               
CRYSTAL                               
start 14 1                             
read_board                               
b b b b b b b b b b b b b b b b b b b b            
b life co 3 co 5 b co co co co b co co co 15 16 17 18 b            
b life co 2 co 4 b w w w w b web web web b co co co b            
b life co 2 co 4 b co co co co b co co co b co co co b            
b b b b b 4 5 0 web web 0 b 11 12 13 b 15 16 17 0            
b 5 1 l b 4 b 0 0 0 0 b web web web b 15 16 17 b            
b 6 b 2 3 4 b web web web web b 11 12 13 b 15 16 17 b            
b 7 b b b b b co co co co b co co co b 15 16 17 b            
b 8 co 2 co 4 b web 0 web 0 b w 12 w b co co co b            
b 9 co 2 co 4 b 0 web 0 web b co co co b co co co b            
b 10 co 12 co 14 b co co co co b 21 w 23 b 25 26 27 b            
b b b b b 15 b co co co co b co co co b coin co co b            
b 12 co 14 co 16 b 0 web 0 web b co co co b 27 28 29 b            
b 13 co 15 co 17 b web 0 web 0 23 24 25 26 b life ec life b            
b 0 b b b b b b b b b b b b b b b b b b            
                               
exit 4 19                             
check   4 6                           
check   13 11                           
                               
spiders 1 2 H -1 spiders 3 1 H 1 spider 2 7 V spider 1 13 V spider 9 2 V spider 9 4 V spiders 12 2 H -1 spiders 13 4 H 1
spiders 2 5 H 1 spider 6 9 V spider 9 10 V spider 12 8 V spider 7 12 V spider 5 14 V spider 4 17 V spider 7 16 H
spiders 9 16 V 1 spiders 10 17 V -1 spiders 11 17 H 1 spiders 12 18 V -1                
